Study1,Study2,Study3,Study4,Study5,Study6,Study7,Study8,mean,se
0.711235222456718,0.490357075550942,0.592531183083335,-0.309845636688393,0.798884839856779,0.601509287021018,0.0864432088959495,0.29746465930003,0.457630702437441,0.113064013116031
0.820716552239924,0.539096161587211,0.788561344469097,0.508731019871409,0.833738338786505,0.531140595949378,0.58759711094926,0.566756862767975,0.674880168225697,0.0470567574716301
0.788461885657051,0.768653896016735,0.809959549363804,-0.0288255675611502,0.872497160357645,0.718804402220081,0.7697903004861,0.667663862614132,0.709295675224557,0.0837018539026611
0.785363980128954,0.829082349778512,0.839698919695508,0.345705127179726,0.89655173076927,0.71498847343883,0.788971113373551,0.690957052088354,0.763018254562346,0.0508854369878567
0.799669900374951,0.863559761563464,0.836176275991536,0.377478375804831,0.912964123012637,0.743686517114648,0.813275817999581,0.767582122544647,0.787006758033841,0.0483947945540536
0.817556159274635,0.894554739804872,0.843237660445353,0.549903441737101,0.924410181880222,0.789765583381417,0.774820191595357,0.765545584585625,0.810825220360572,0.0343156954773645
0.816291855743598,0.880852258039313,0.841620349042897,0.551051177785211,0.933518633415501,0.825668469927567,0.769166275364228,0.758721691079285,0.812227290020516,0.034519898950923
0.855293121329063,0.847447274196296,0.851462376683199,0.584251872735934,0.940786363761271,0.838772726874612,0.793170343310293,0.743705878403901,0.821650647498951,0.0322669673690664
0.87523336097958,0.850122924154847,0.867225805778587,0.742145238895953,0.947697899009617,0.834066095286248,0.814362788201425,0.738349753782657,0.844023745119661,0.0227087146883139
0.870011048344814,0.85113356698301,0.873529271647403,0.734432388605588,0.955546675772596,0.837149636794656,0.840342116393847,0.754862367888002,0.850347258037397,0.0225616340193329
0.883306886117512,0.849719526328496,0.883431092490857,0.802334673080897,0.960975999573428,0.868774893628328,0.844062939731591,0.754253113361476,0.864012134732244,0.020287339580301
0.884479778482998,0.876273932501366,0.889747189758018,0.782315145047692,0.965477934308059,0.877648516250233,0.850612803134133,0.755695903691683,0.869071750071473,0.0214610694420533
0.882962665219925,0.86660235155815,0.898551510866371,0.843038580633471,0.958951439245422,0.888645957874418,0.857190380554886,0.760966540478378,0.87639961687427,0.0186732188718396
0.900449836236378,0.87425006671216,0.887102365166431,0.849836759299468,0.958712388025225,0.88905122914377,0.856850744812244,0.769166650707736,0.87836668115495,0.0177984738445761
0.902730160901577,0.88850700716831,0.891179332704454,0.820752603292781,0.958849202810044,0.902129892069555,0.844764339903945,0.773143259162572,0.878613478888182,0.0188525254000082
0.919746288392099,0.898126607604506,0.896781902827566,0.813136379604022,0.958640096548784,0.906820352367432,0.861090131823945,0.770640447403006,0.884109957113905,0.0195781136497661
0.93421461431897,0.879392817271835,0.899125285176656,0.746220896528415,0.959211287902251,0.907989954932215,0.89232400668517,0.783066164103015,0.882993669386786,0.0227268489707122
0.938239401234644,0.887421044673308,0.882234969806025,0.798575022020154,0.959470085984134,0.908592173203896,0.901112572569281,0.796314780804151,0.888136583698712,0.0188175271698391
0.934060050306525,0.887028347968106,0,0.863713064472531,0.959989843892507,0.909053590939651,0.902475102294037,0.806354506440674,0.897663953612154,0.0181336863953525
0.955157055363228,0.87948184142216,0,0.880261031800726,0.960120038403728,0.905699330270955,0.890998003765514,0.820636649644545,0.900581442343819,0.0173127221236422
0.957483472969348,0.87590023793855,0,0.924398227452965,0.960312799153341,0.90841488008684,0.907283789575208,0.841302311197509,0.911328538569495,0.0153012807527897
0.954788579875765,0.888468252127506,0,0.917588500527935,0.960520446259034,0.90750560749747,0.902885099599427,0.851522268106436,0.912703221340874,0.013647540449617
0.95064300732317,0.897286546559038,0,0.906586051927633,0.960797217705671,0.911142779478986,0.90119070896541,0.857604240403621,0.913429905481015,0.0126588417801367
0.955351309782505,0.896557387342651,0,0.912461133784553,0.960760345022875,0.912119720116324,0.899753633147369,0.853214202946764,0.913767967312924,0.0133000664728841
0.959847686736045,0.894057894531437,0,0.896841131276162,0,0.913315205097276,0.914054025664291,0.852321335818148,0.902502592547026,0.0126497563488548
0.9581059091252,0.897084448255496,0,0.897898346246886,0,0.91212424470792,0.914572684787854,0.853407990801514,0.902841088809426,0.0121956092571014
0.92955070018466,0.898661076648574,0,0.851754280701796,0,0.911734331907085,0.918768075822142,0.85319605579935,0.892948698979056,0.0122430012595336
0.948779259414559,0.9007865187845,0,0.901889127174129,0,0.915627512388994,0.925244750241257,0.850669350268587,0.904330144971291,0.0120612317427957
0,0.900002635906823,0,0.860152040103407,0,0.916580379131901,0.927225544223452,0.850181373805703,0.891778965981626,0.0136963883462535
0,0.896800907556093,0,0.898459064310351,0,0.919568310599587,0.929056424990581,0.849881996101906,0.898472063970861,0.0125261746773259
0,0.895470968341229,0,0.853492423037265,0,0.925774091742537,0.935413825767163,0.852407830028709,0.893794257749165,0.0155413350022155
0,0.892986071023388,0,0,0,0.928245846273929,0.934650517265682,0.856874610564779,0.902663619019148,0.0156131908590553
0,0.889939077001543,0,0,0,0.903757176731544,0,0.865498788477504,0.885368912904395,0.00905774770090701
0,0.883144447518137,0,0,0,0.946281696912622,0,0.877354930218749,0.89896314580982,0.0172514577500683
0,0.886761565872131,0,0,0,0.98708086497948,0,0.889328213613396,0.91253810358087,0.0246718022946579
0,0.860588837573208,0,0,0,0,0,0.893089275054334,0.877517328368442,0.0114806262053945
0,0.851074158456002,0,0,0,0,0,0.894203086362344,0.874051033684539,0.0152156366934945
0,0.877996055326406,0,0,0,0,0,0.897087693566104,0.889007501285554,0.00666988008276027
0,0.910011831225029,0,0,0,0,0,0.897679981442997,0.90253999182614,0.00426105720800501
0,0,0,0,0,0,0,0.904920700700248,0.904920700700248,1.11022302462516e-16
0,0,0,0,0,0,0,0.906652760620369,0.906652760620369,0
0,0,0,0,0,0,0,0.906411905445847,0.906411905445847,1.11022302462516e-16
0,0,0,0,0,0,0,0.909388075064723,0.909388075064723,1.11022302462516e-16
0,0,0,0,0,0,0,0.908396524415471,0.908396524415471,0
0,0,0,0,0,0,0,0.914077208553564,0.914077208553564,0
0,0,0,0,0,0,0,0.913339826813307,0.913339826813307,0
0,0,0,0,0,0,0,0.914779721440203,0.914779721440203,0
0,0,0,0,0,0,0,0.915969677194106,0.915969677194105,1.11022302462516e-16
