studynames,measure,temperature,sd
study1,nps,44.3,5.78069336369825
study1,nps,45.3,5.32171093510192
study1,nps,46.3,4.40845656468616
study1,nps,47.3,5.23200663527645
study1,nps,48.3,5.62044771127742
study1,nps,49.3,8.25640580681033
study2,nps,46,233.237729879412
study2,nps,47,286.584751994547
study2,nps,48,339.198863845702
study3,nps,47,13.0427741031771
study3,nps,48,13.6372571167876
study3,nps,49,15.1716087626031
study5,nps,46,6.27069128499612
study5,nps,47,6.82106750283389
study5,nps,48,9.55623947175456
study6,nps,48,20.520384444041
study6,nps,49,23.52320023682
study8,nps,48,31.6035943831482
study8,nps,49,27.5512099388533
study8,nps,50,45.4180958216814
study1,pain,44.3,12.4771493619713
study1,pain,45.3,14.7402873710456
study1,pain,46.3,13.736557834605
study1,pain,47.3,17.0607332974003
study1,pain,48.3,22.0049794506543
study1,pain,49.3,24.1834670431015
study2,pain,46,7.71772651670955
study2,pain,47,8.67410966821297
study2,pain,48,10.8364980167747
study3,pain,47,16.2294093555499
study3,pain,48,16.0510984318728
study3,pain,49,17.1703428642277
study5,pain,46,14.2069758024814
study5,pain,47,15.9287005180655
study5,pain,48,18.161747135983
study6,pain,48,10.3811206125306
study6,pain,49,11.1447018115517
study8,pain,48,13.9909238663288
study8,pain,49,16.1840614354993
study8,pain,50,17.5170904948787
